year,plant,district,region,area_type,months,days_observed,production_m3,billed_m3,nrw_m3,physical_loss_m3,commercial_loss_m3,nrw_value_rm,physical_loss_value_rm,nrw_sunk_cost_rm,billed_revenue_rm,opex_rm,energy_cost_rm,energy_kwh,pipe_bursts,complaints,supply_interruption_hr,pipe_length_km,plant_age_yr,meter_age_yr,capacity_m3_day,capacity_utilisation_pct,customer_accounts,population_served,tariff_rm_m3,cost_per_m3_rm,pressure_bar,water_quality_compliance_pct,nrw_pct_monthly_sd,nrw_pct,physical_share_pct,nrw_per_km_m3,physical_loss_per_km_m3,bursts_per_100km,account_density,nrw_per_account_m3,loss_per_connection_l_day,operating_margin_pct,asset_age_index,complete_year,annualise,nrw_m3_annualised,production_m3_annualised,billed_m3_annualised,physical_loss_m3_annualised,commercial_loss_m3_annualised,nrw_value_rm_annualised,nrw_sunk_cost_rm_annualised,billed_revenue_rm_annualised,opex_rm_annualised,pipe_bursts_annualised,pr_nrw_per_km_m3,pr_bursts_per_100km,pr_plant_age_yr,pr_account_density,lips,lips_rank,volume_rank,rate_rank,rank_gap
2023,BENTONG (FASA 2),BENTONG,BARAT,Bandar,12,365,38889413,24685748,14203665,8607421,5596244,18535782.825,11232684.405,3004694.681,32214901.17,8222688.97,5772752.97,15300867,101,1334,313.0,193.0,38.0,6.599999999999999,159300.0,66.85833333333333,88904.41666666667,377737.0,1.305,0.21141666666666667,2.8354545454545454,98.19166666666666,1.670601415930532,36.523217771376494,60.600000070404356,73594.11917098446,44598.03626943005,52.331606217616574,460.6446459412781,159.76332259458425,265.2508865884888,74.4755107997744,73.49999999999999,True,1.0,14203665.0,38889413.0,24685748.0,8607421.0,5596244.0,18535782.825,3004694.681,32214901.17,8222688.97,101.0,97.2972972972973,62.16216216216216,100.0,94.5945945945946,88.65,1,7,53,46
2023,BATU 9,LIPIS,BARAT,Pinggir Bandar,12,365,8341305,5508523,2832782,1739328,1093454,3458826.822,2123719.4880000004,857942.216,6725906.59,2526742.72,1687259.72,4491420,26,295,95.7,48.0,36.0,6.5,33000.0,69.21666666666667,19551.583333333332,81833.0,1.221,0.30316666666666664,2.6775,98.64166666666667,1.7410158998804002,33.96089700592413,61.39999477545395,59016.291666666664,36236.0,54.166666666666664,407.32465277777777,144.88760074844748,243.7287103830886,62.4326819561138,70.25,True,1.0,2832782.0,8341305.0,5508523.0,1739328.0,1093454.0,3458826.822,857942.216,6725906.59,2526742.72,26.0,87.83783783783784,71.62162162162163,92.56756756756756,90.54054054054053,85.14,2,13,62,49
2023,SG GAPOI,BENTONG,BARAT,Pinggir Bandar,12,365,9146780,6020601,3126179,2010134,1116045,3820190.738,2456383.7479999997,900343.481,7357174.42,2634940.03,1756650.03,4650099,24,385,72.0,51.0,33.0,4.1,38700.0,64.73333333333333,21148.333333333332,89605.0,1.222,0.2881666666666667,2.4616666666666664,98.40833333333335,1.8855712099729336,34.17791834940821,64.30002888510224,61297.62745098039,39414.39215686275,47.05882352941176,414.6732026143791,147.82153045945307,260.40900488720143,64.18543479359296,59.74999999999999,True,1.0,3126179.0,9146780.0,6020601.0,2010134.0,1116045.0,3820190.738,900343.481,7357174.42,2634940.03,24.0,90.54054054054053,36.486486486486484,85.13513513513513,93.24324324324324,76.35,3,11,61,50
2023,BUKIT UBI,KUANTAN,PANTAI TIMUR,Bandar,12,365,50244026,34938755,15305271,9565796,5739478,20876389.644,13047745.744,4114987.2440000004,47656461.82,13511999.81,9756443.81,26062783,105,1701,338.2,238.0,35.0,13.9,178300.0,77.16666666666667,117714.25,497203.0,1.364,0.2688333333333333,2.5954545454545457,97.74166666666667,1.3097246992703415,30.461872223376368,62.50001061725728,64307.861344537814,40192.42016806723,44.11764705882353,494.5976890756302,130.02054551594222,222.63795822487594,71.64707723994437,87.25,True,1.0,15305271.0,50244026.0,34938755.0,9565796.0,5739478.0,20876389.644,4114987.2440000004,47656461.82,13511999.81,105.0,93.24324324324324,18.91891891891892,89.86486486486487,95.94594594594594,74.39,4,6,72,66
2023,PEKAN TAJAU,MARAN,TENGAH,Pinggir Bandar,12,365,3591896,2256554,1335342,1066938,268404,1506265.7759999998,1203506.0639999998,340638.752,2545392.94,916009.5,614691.5,1631889,18,152,60.6,31.0,33.0,9.8,12700.0,77.475,8300.916666666666,34919.0,1.128,0.2549166666666667,2.7841666666666662,98.5,1.6051762859857193,37.176521814662784,79.89998067910693,43075.54838709677,34417.354838709674,58.06451612903226,267.77150537634407,160.86681189828434,352.1439770570533,64.01304153849033,74.0,True,1.0,1335342.0,3591896.0,2256554.0,1066938.0,268404.0,1506265.7759999998,340638.752,2545392.94,916009.5,18.0,62.16216216216216,87.83783783783784,85.13513513513513,63.51351351351351,73.38,5,34,50,16
2023,SG JELAI,LIPIS,BARAT,Bandar,12,365,67417251,45847537,21569714,17967573,3602141,29464229.324,24543704.718000002,4164483.537,62627735.57,13012744.48,8576115.48,22858310,132,2166,430.8,298.0,29.0,8.8,268300.0,68.825,159063.16666666666,678485.0,1.3660000000000003,0.19308333333333336,2.495833333333333,98.35000000000001,1.7033834423039202,31.994354086018728,83.30000573952904,72381.59060402685,60293.86912751678,44.29530201342282,533.7690156599552,135.6047063064045,309.47596749673,79.2220741153008,65.5,True,1.0,21569714.0,67417251.0,45847537.0,17967573.0,3602141.0,29464229.324,4164483.537,62627735.57,13012744.48,132.0,95.94594594594594,21.62162162162162,73.64864864864865,97.2972972972973,73.11,6,3,66,63
2023,PANCHING,KUANTAN,PANTAI TIMUR,Bandar,12,365,58424502,41225551,17198951,13174398,4024553,23579761.821,18062099.658,3964873.439,56520230.44,13471599.34,8951918.34,23908897,98,2039,317.2,224.0,28.0,3.2999999999999994,213700.0,74.89166666666667,137900.5,575775.0,1.3709999999999998,0.23066666666666666,2.3425,97.96666666666665,1.568728494963068,29.437907746308216,76.6000089191486,76781.03125,58814.27678571428,43.75,615.6272321428571,124.7200046410274,261.74119090134127,76.16499572785534,50.24999999999999,True,1.0,17198951.0,58424502.0,41225551.0,13174398.0,4024553.0,23579761.821,3964873.439,56520230.44,13471599.34,98.0,98.64864864864865,17.56756756756757,66.8918918918919,100.0,72.23,7,5,73,68
2023,SG BERA (KEPAYANG),BERA,TENGAH,Luar Bandar,12,365,2291736,912422,1379314,1080001,299313,1313106.9279999998,1028160.9519999999,413319.26499999996,868625.74,686658.28,424839.27999999997,1125151,16,100,53.4,28.0,28.0,5.7,9600.0,65.35833333333333,5363.333333333333,22560.0,0.952,0.29975,2.079090909090909,98.02499999999999,2.590352146412576,60.18642635975523,78.29986500535774,49261.21428571428,38571.46428571428,57.14285714285714,191.54761904761904,257.1747669359851,551.6917680512869,20.948891060953358,56.25,True,1.0,1379314.0,2291736.0,912422.0,1080001.0,299313.0,1313106.9279999998,413319.26499999996,868625.74,686658.28,16.0,77.02702702702703,83.1081081081081,66.8918918918919,45.94594594594595,71.86,8,32,4,-28
2023,ULU SUNGAI,RAUB,BARAT,Luar Bandar,12,365,1881504,750664,1130840,650234,480606,1119531.6,643731.66,365336.957,743157.36,607926.54,410825.54,1101146,18,94,62.3,26.0,30.0,10.2,7400.0,69.63333333333334,4434.833333333333,18793.0,0.9899999999999999,0.32316666666666666,2.3000000000000003,98.55833333333334,3.0145480589965716,60.10298144463153,57.50008842983977,43493.846153846156,25009.0,69.23076923076923,170.57051282051282,254.99041677627872,401.6978496821294,18.19679482148975,70.5,True,1.0,1130840.0,1881504.0,750664.0,650234.0,480606.0,1119531.6,365336.957,743157.36,607926.54,18.0,63.51351351351351,98.64864864864865,78.37837837837837,37.83783783783784,71.42,9,39,5,-34
2023,SG. LEMBING,KUANTAN,PANTAI TIMUR,Pinggir Bandar,12,365,8443945,5653016,2790929,1973187,817743,3234686.711,2286923.733,770749.2880000001,6551845.55,2333138.3,1758176.3,4687170,20,344,58.699999999999996,48.0,37.0,12.1,31600.0,73.23333333333333,19544.916666666668,82688.0,1.159,0.276,2.5399999999999996,98.83333333333333,1.6336425186643129,33.05242987726708,70.70000705858158,58144.354166666664,41108.0625,41.66666666666667,407.1857638888889,142.7956459266902,276.59323766990997,64.38960164437943,85.75,True,1.0,2790929.0,8443945.0,5653016.0,1973187.0,817743.0,3234686.711,770749.2880000001,6551845.55,2333138.3,20.0,86.48648648648648,11.486486486486488,96.62162162162163,89.1891891891892,70.17,10,15,63,48
